Player,Rating 2.0,KPR,HS,Maps Played,DPR,Rounds Contributed
daps,"Rating 2.0
                          0.81","Kills per round
                          0.49","Headshots
                          41.7%","Maps played
                          8","Deaths per round
                          0.66","Rounds contributed
                          63.5%"
Brehze,,,,,,
NEOFRAG,"Rating 2.0
                          1.06","Kills per round
                          0.69","Headshots
                          54.2%","Maps played
                          20","Deaths per round
                          0.68","Rounds contributed
                          68.9%"
oskar,"Rating 2.0
                          1.08","Kills per round
                          0.68","Headshots
                          28.8%","Maps played
                          93","Deaths per round
                          0.61","Rounds contributed
                          70.2%"
SHOCK,"Rating 2.0
                          1.09","Kills per round
                          0.71","Headshots
                          52.4%","Maps played
                          94","Deaths per round
                          0.67","Rounds contributed
                          68.9%"
ZEDKO,"Rating 2.0
                          1.02","Kills per round
                          0.65","Headshots
                          61.0%","Maps played
                          93","Deaths per round
                          0.67","Rounds contributed
                          69.2%"
beastik,"Rating 2.0
                          0.93","Kills per round
                          0.58","Headshots
                          54.4%","Maps played
                          93","Deaths per round
                          0.67","Rounds contributed
                          68.7%"
Lucky,"Rating 2.0
                          1.14","Kills per round
                          0.71","Headshots
                          40.7%","Maps played
                          76","Deaths per round
                          0.56","Rounds contributed
                          74.4%"
Swisher,"Rating 2.0
                          1.18","Kills per round
                          0.76","Headshots
                          52.1%","Maps played
                          39","Deaths per round
                          0.68","Rounds contributed
                          70.9%"
junior,"Rating 2.0
                          1.17","Kills per round
                          0.74","Headshots
                          28.0%","Maps played
                          66","Deaths per round
                          0.57","Rounds contributed
                          74.5%"
Spongey,,,,,,
Jonji,"Rating 2.0
                          1.00","Kills per round
                          0.67","Headshots
                          43.5%","Maps played
                          18","Deaths per round
                          0.76","Rounds contributed
                          61.0%"
Shakezullah,,,,,,
coldzera,"Rating 2.0
                          1.00","Kills per round
                          0.64","Headshots
                          50.8%","Maps played
                          36","Deaths per round
                          0.65","Rounds contributed
                          71.6%"
exit,"Rating 2.0
                          1.06","Kills per round
                          0.64","Headshots
                          48.3%","Maps played
                          56","Deaths per round
                          0.59","Rounds contributed
                          74.6%"
shz,"Rating 2.0
                          1.01","Kills per round
                          0.63","Headshots
                          50.0%","Maps played
                          53","Deaths per round
                          0.66","Rounds contributed
                          70.3%"
brnz4n,"Rating 2.0
                          1.03","Kills per round
                          0.65","Headshots
                          55.1%","Maps played
                          56","Deaths per round
                          0.67","Rounds contributed
                          69.3%"
yel,,,,,,
nak,,,,,,
