Team 1,Team 2,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Ilya 'Perfecto' Zalutskiy,Perfecto,50-54,-4,65.9,77.6%,1.05,,,,,,,
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Kirill 'Boombl4' Mikhailov,Boombl4,41-56,-15,67.4,67.1%,0.88,Peter 'dupreeh' Rasmussen,dupreeh,56-59,-3,68.9,63.5%,0.93
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Kirill 'Boombl4' Mikhailov,Boombl4,41-56,-15,67.4,67.1%,0.88,Emil 'Magisk' Reif,Magisk,59-63,-4,71.6,64.7%,0.93
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Kirill 'Boombl4' Mikhailov,Boombl4,41-56,-15,67.4,67.1%,0.88,Andreas 'Xyp9x' Højsleth,Xyp9x,53-63,-10,71.8,69.4%,0.93
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Kirill 'Boombl4' Mikhailov,Boombl4,41-56,-15,67.4,67.1%,0.88,Lucas 'Bubzkji' Andersen,Bubzkji,48-66,-18,71.1,67.1%,0.83
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Kirill 'Boombl4' Mikhailov,Boombl4,41-56,-15,67.4,67.1%,0.88,Lukas 'gla1ve' Rossander,gla1ve,38-61,-23,59.2,61.2%,0.76
"FaZe
                    
                    2","Heroic
                    
                    1",Helvijs 'broky' Saukants,broky,68-39,+29,82.6,78.5%,1.32,,,,,,,
"FaZe
                    
                    2","Heroic
                    
                    1",Russel 'Twistzz' Van Dulken,Twistzz,53-49,+4,73.4,74.7%,1.12,,,,,,,
"FaZe
                    
                    2","Heroic
                    
                    1",Håvard 'rain' Nygaard,rain,48-51,-3,74.1,73.4%,1.03,,,,,,,
"FaZe
                    
                    2","Heroic
                    
                    1",Finn 'karrigan' Andersen,karrigan,48-53,-5,70.8,64.6%,1.02,,,,,,,
"FaZe
                    
                    2","Heroic
                    
                    1",Olof 'olofmeister' Kajbjer,olofmeister,48-43,+5,60.7,65.8%,1.00,René 'TeSeS' Madsen,TeSeS,58-48,+10,82.4,74.7%,1.17
"FaZe
                    
                    2","Heroic
                    
                    1",Olof 'olofmeister' Kajbjer,olofmeister,48-43,+5,60.7,65.8%,1.00,Martin 'stavn' Lund,stavn,50-56,-6,79.7,65.8%,1.01
"FaZe
                    
                    2","Heroic
                    
                    1",Olof 'olofmeister' Kajbjer,olofmeister,48-43,+5,60.7,65.8%,1.00,Rasmus 'sjuush' Beck,sjuush,48-54,-6,68.4,67.1%,0.97
"FaZe
                    
                    2","Heroic
                    
                    1",Olof 'olofmeister' Kajbjer,olofmeister,48-43,+5,60.7,65.8%,1.00,Casper 'cadiaN' Møller,cadiaN,40-53,-13,60.1,63.3%,0.82
"FaZe
                    
                    2","Heroic
                    
                    1",Olof 'olofmeister' Kajbjer,olofmeister,48-43,+5,60.7,65.8%,1.00,Ismail 'refrezh' Ali,refrezh,39-57,-18,51.7,62.0%,0.74
"Gambit
                    
                    1","G2
                    
                    2",Abay 'HObbit' Khassenov,HObbit,63-51,+12,78.5,74.1%,1.20,,,,,,,
"Gambit
                    
                    1","G2
                    
                    2",Dmitry 'sh1ro' Sokolov,sh1ro,63-47,+16,77.9,80.0%,1.20,,,,,,,
"Gambit
                    
                    1","G2
                    
                    2",Sergey 'Ax1Le' Rykhtorov,Ax1Le,66-59,+7,86.5,75.3%,1.19,,,,,,,
"Gambit
                    
                    1","G2
                    
                    2",Vladislav 'nafany' Gorshkov,nafany,45-60,-15,61.3,70.6%,0.92,,,,,,,
"Gambit
                    
                    1","G2
                    
                    2",Timofey 'interz' Yakushin,interz,38-52,-14,51.4,68.2%,0.77,François 'AMANEK' Delaunay,AMANEK,57-51,+6,71.5,74.1%,1.10
"Gambit
                    
                    1","G2
                    
                    2",Timofey 'interz' Yakushin,interz,38-52,-14,51.4,68.2%,0.77,Nemanja 'huNter-' Kovač,huNter-,56-56,0,74.5,72.9%,1.06
"Gambit
                    
                    1","G2
                    
                    2",Timofey 'interz' Yakushin,interz,38-52,-14,51.4,68.2%,0.77,Nikola 'NiKo' Kovač,NiKo,58-58,0,72.9,65.9%,0.99
"Gambit
                    
                    1","G2
                    
                    2",Timofey 'interz' Yakushin,interz,38-52,-14,51.4,68.2%,0.77,Audric 'JACKZ' Jug,JACKZ,52-56,-4,66.7,72.9%,0.96
"Gambit
                    
                    1","G2
                    
                    2",Timofey 'interz' Yakushin,interz,38-52,-14,51.4,68.2%,0.77,Nemanja 'nexa' Isaković,nexa,45-56,-11,57.4,70.6%,0.87
"BIG
                    
                    0","Virtus.pro
                    
                    2",Nils 'k1to' Gruhne,k1to,43-46,-3,66.2,75.4%,1.02,,,,,,,
"BIG
                    
                    0","Virtus.pro
                    
                    2",Florian 'syrsoN' Rische,syrsoN,42-44,-2,61.4,69.6%,0.95,,,,,,,
"BIG
                    
                    0","Virtus.pro
                    
                    2",Ismailcan 'XANTARES' Dörtkardeş,XANTARES,42-49,-7,72.7,69.6%,0.94,,,,,,,
"BIG
                    
                    0","Virtus.pro
                    
                    2",Johannes 'tabseN' Wodarz,tabseN,39-49,-10,77.3,58.0%,0.90,,,,,,,
"BIG
                    
                    0","Virtus.pro
                    
                    2",Tizian 'tiziaN' Feldbusch,tiziaN,41-51,-10,74.7,66.7%,0.87,Mareks 'YEKINDAR' Gaļinskis,YEKINDAR,56-45,+11,91.6,68.1%,1.25
"BIG
                    
                    0","Virtus.pro
                    
                    2",Tizian 'tiziaN' Feldbusch,tiziaN,41-51,-10,74.7,66.7%,0.87,Alexey 'Qikert' Golubev,Qikert,49-44,+5,82.7,75.4%,1.20
"BIG
                    
                    0","Virtus.pro
                    
                    2",Tizian 'tiziaN' Feldbusch,tiziaN,41-51,-10,74.7,66.7%,0.87,Dzhami 'Jame' Ali,Jame,42-32,+10,63.6,81.2%,1.15
"BIG
                    
                    0","Virtus.pro
                    
                    2",Tizian 'tiziaN' Feldbusch,tiziaN,41-51,-10,74.7,66.7%,0.87,Sanjar 'SANJI' Kuliev,SANJI,51-45,+6,74.3,69.6%,1.01
"BIG
                    
                    0","Virtus.pro
                    
                    2",Tizian 'tiziaN' Feldbusch,tiziaN,41-51,-10,74.7,66.7%,0.87,Timur 'buster' Tulepov,buster,38-42,-4,56.2,63.8%,0.90
"FURIA
                    
                    0","Heroic
                    
                    2",Kaike 'KSCERATO' Cerato,KSCERATO,50-44,+6,91.7,67.7%,1.21,,,,,,,
"FURIA
                    
                    0","Heroic
                    
                    2",Yuri 'yuurih' Santos,yuurih,36-44,-8,67.2,67.7%,0.95,,,,,,,
"FURIA
                    
                    0","Heroic
                    
                    2",Lucas 'honda' Cano,honda,38-41,-3,67.5,69.4%,0.95,,,,,,,
"FURIA
                    
                    0","Heroic
                    
                    2",Vinicius 'VINI' Figueiredo,VINI,29-41,-12,58.1,67.7%,0.81,,,,,,,
"FURIA
                    
                    0","Heroic
                    
                    2",Andrei 'arT' Piovezan,arT,36-49,-13,66.5,53.2%,0.80,Casper 'cadiaN' Møller,cadiaN,49-29,+20,80.1,79.0%,1.36
"FURIA
                    
                    0","Heroic
                    
                    2",Andrei 'arT' Piovezan,arT,36-49,-13,66.5,53.2%,0.80,Rasmus 'sjuush' Beck,sjuush,47-41,+6,94.4,69.4%,1.22
"FURIA
                    
                    0","Heroic
                    
                    2",Andrei 'arT' Piovezan,arT,36-49,-13,66.5,53.2%,0.80,Ismail 'refrezh' Ali,refrezh,41-39,+2,65.6,75.8%,1.06
